MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,DEPTH,TYPE,CHLA,R
5254,PLEASANT (MUD) P,3,9/16/2021,CW,3.5,C,8,1
5254,PLEASANT (MUD) P,3,9/16/2021,CW,3.5,C,8,1
5254,PLEASANT (MUD) P,1,9/16/2021,CW,6,C,12,1
5254,PLEASANT (MUD) P,1,10/8/2021,CW,6,C,13,1
5254,PLEASANT (MUD) P,3,10/8/2021,CW,3,C,8,1
5254,PLEASANT (MUD) P,1,10/8/2021,CW,6,C,13,1
5254,PLEASANT (MUD) P,1,10/8/2021,CW,6,C,13,1
5254,PLEASANT (MUD) P,3,10/8/2021,CW,3,C,8,1
5254,PLEASANT (MUD) P,1,10/8/2021,CW,6,C,13,1
5250,PURGATORY P (LITTLE),1,7/29/2021,CW,,,,
5250,PURGATORY P (LITTLE),1,8/31/2021,CW,,,,
5250,PURGATORY P (LITTLE),1,10/15/2021,CW,,,,
5238,SAND P (TACOMA LKS),1,6/22/2021,CW,,,,
5238,SAND P (TACOMA LKS),1,7/28/2021,CW,,,,
5238,SAND P (TACOMA LKS),1,8/24/2021,CW,,,,
5238,SAND P (TACOMA LKS),1,10/7/2021,CW,,,,
5300,SHED P,1,9/7/2021,CW,2.5,C,5,1
5300,SHED P,1,9/7/2021,CW,2.5,C,5,1
5307,TORSEY (GREELEY) P,1,5/26/2021,CW,8,C,3,1
5307,TORSEY (GREELEY) P,1,5/26/2021,CW,8,C,3,1
5307,TORSEY (GREELEY) P,1,6/29/2021,CW,6,C,6,1
5307,TORSEY (GREELEY) P,1,7/30/2021,CW,6,C,3,1
5307,TORSEY (GREELEY) P,1,8/23/2021,CW,6,C,6,1
5307,TORSEY (GREELEY) P,1,8/23/2021,CW,6,C,6,1
5307,TORSEY (GREELEY) P,1,9/23/2021,CW,7,C,4,1
5307,TORSEY (GREELEY) P,1,10/21/2021,CW,9,C,6,1
5307,TORSEY (GREELEY) P,1,10/21/2021,CW,9,C,6,1
3832,WILSON P,1,5/25/2021,CW,9,C,1,1
3832,WILSON P,1,5/25/2021,CW,9,C,1,1
3832,WILSON P,1,5/25/2021,CW,9,C,1,1
3832,WILSON P,1,6/10/2021,CW,6,C,4,1
3832,WILSON P,1,6/10/2021,CW,6,C,4,1
3832,WILSON P,1,6/10/2021,CW,6,C,4,1
3832,WILSON P,1,6/21/2021,CW,6,C,4,1
3832,WILSON P,1,6/21/2021,CW,6,C,4,1
3832,WILSON P,1,6/21/2021,CW,6,C,4,1
3832,WILSON P,1,7/7/2021,CW,6,C,4,1
3832,WILSON P,1,7/7/2021,CW,6,C,4,1
3832,WILSON P,1,7/7/2021,CW,6,C,4,1
3832,WILSON P,1,7/7/2021,CW,6,C,4,1
3832,WILSON P,1,7/22/2021,CW,6,C,2,1
3832,WILSON P,1,7/22/2021,CW,6,C,2,1
3832,WILSON P,1,7/22/2021,CW,6,C,2,1
3832,WILSON P,1,7/22/2021,CW,6,C,2,1
3832,WILSON P,1,8/4/2021,CW,6,C,5,1
3832,WILSON P,1,8/4/2021,CW,6,C,5,1
3832,WILSON P,1,8/4/2021,CW,6,C,5,1
3832,WILSON P,1,8/4/2021,CW,6,C,5,1
3832,WILSON P,1,8/4/2021,CW,6,C,5,1
3832,WILSON P,1,8/4/2021,CW,6,C,5,1
3832,WILSON P,1,8/4/2021,CW,6,C,5,1
3832,WILSON P,1,8/18/2021,CW,5,C,4,1
3832,WILSON P,1,8/18/2021,CW,5,C,4,1
3832,WILSON P,1,8/18/2021,CW,5,C,4,1
3832,WILSON P,1,8/18/2021,CW,5,C,4,1
3832,WILSON P,1,8/18/2021,CW,5,C,4,1
3832,WILSON P,1,8/18/2021,CW,5,C,4,1
3832,WILSON P,1,8/18/2021,CW,5,C,4,1
3832,WILSON P,1,9/1/2021,CW,6,C,7,1
3832,WILSON P,1,9/1/2021,CW,6,C,7,1
3832,WILSON P,1,9/1/2021,CW,6,C,7,1
3832,WILSON P,1,9/1/2021,CW,6,C,7,1
3832,WILSON P,1,9/1/2021,CW,6,C,7,1
3832,WILSON P,1,9/1/2021,CW,6,C,7,1
3832,WILSON P,1,9/17/2021,CW,7,C,10,1
3832,WILSON P,1,9/17/2021,CW,7,C,10,1
3832,WILSON P,1,9/17/2021,CW,7,C,10,1
3832,WILSON P,1,9/17/2021,CW,7,C,10,1
3832,WILSON P,1,9/17/2021,CW,7,C,10,1
3832,WILSON P,1,9/17/2021,CW,7,C,10,1
3832,WILSON P,1,9/17/2021,CW,7,C,10,1
3832,WILSON P,1,10/4/2021,CW,,,,
3832,WILSON P,1,10/18/2021,CW,9,C,8,1
3832,WILSON P,1,10/18/2021,CW,9,C,8,1
3832,WILSON P,1,10/18/2021,CW,9,C,8,1
3832,WILSON P,1,10/18/2021,CW,9,C,8,1
5240,WOODBURY P,1,6/18/2021,CW,,,,
5240,WOODBURY P,1,7/30/2021,CW,,,,
5240,WOODBURY P,1,8/24/2021,CW,,,,
5240,WOODBURY P,1,10/7/2021,CW,,,,
