"midas","lake","basin","date","agency","tp_ppm","depth","r","type","year","month","sampleid"
"98","narrows upper",1,2003-10-24,"cw",0.016,11,1,"g",2003,10,"98_1_2003-10-24"
"98","narrows upper",1,2003-10-24,"cw",0.024,1,1,"g",2003,10,"98_1_2003-10-24"
"98","narrows upper",1,2003-10-24,"cw",0.028,13,1,"g",2003,10,"98_1_2003-10-24"
"98","narrows upper",1,2003-10-24,"cw",0.047,3,1,"g",2003,10,"98_1_2003-10-24"
"98","narrows upper",1,2006-06-07,"cw",0.008,1,1,"g",2006,6,"98_1_2006-06-07"
"98","narrows upper",1,2006-06-07,"cw",0.009,7,1,"g",2006,6,"98_1_2006-06-07"
"98","narrows upper",1,2006-06-07,"cw",0.01,9,1,"g",2006,6,"98_1_2006-06-07"
"98","narrows upper",1,2006-06-07,"cw",0.01,11,1,"g",2006,6,"98_1_2006-06-07"
"98","narrows upper",1,2006-06-07,"cw",0.011,17,1,"g",2006,6,"98_1_2006-06-07"
"98","narrows upper",1,2006-06-07,"cw",0.012,3,1,"g",2006,6,"98_1_2006-06-07"
"98","narrows upper",1,2006-06-07,"cw",0.012,14,1,"g",2006,6,"98_1_2006-06-07"
"98","narrows upper",1,2006-06-07,"cw",0.013,5,1,"g",2006,6,"98_1_2006-06-07"
"98","narrows upper",1,2006-07-06,"cw",0.008,7,1,"g",2006,7,"98_1_2006-07-06"
"98","narrows upper",1,2006-07-06,"cw",0.008,9,1,"g",2006,7,"98_1_2006-07-06"
"98","narrows upper",1,2006-07-06,"cw",0.009,11,1,"g",2006,7,"98_1_2006-07-06"
"98","narrows upper",1,2006-07-06,"cw",0.01,1,1,"g",2006,7,"98_1_2006-07-06"
"98","narrows upper",1,2006-07-06,"cw",0.01,14,1,"g",2006,7,"98_1_2006-07-06"
"98","narrows upper",1,2006-07-06,"cw",0.011,5,2,"g",2006,7,"98_1_2006-07-06"
"98","narrows upper",1,2006-07-06,"cw",0.013,5,1,"g",2006,7,"98_1_2006-07-06"
"98","narrows upper",1,2006-07-06,"cw",0.016,3,1,"g",2006,7,"98_1_2006-07-06"
"98","narrows upper",1,2006-07-06,"cw",0.022,17,1,"g",2006,7,"98_1_2006-07-06"
"98","narrows upper",1,2006-08-03,"cw",0.008,7,1,"g",2006,8,"98_1_2006-08-03"
"98","narrows upper",1,2006-08-03,"cw",0.008,9,1,"g",2006,8,"98_1_2006-08-03"
"98","narrows upper",1,2006-08-03,"cw",0.01,11,1,"g",2006,8,"98_1_2006-08-03"
"98","narrows upper",1,2006-08-03,"cw",0.012,1,1,"g",2006,8,"98_1_2006-08-03"
"98","narrows upper",1,2006-08-03,"cw",0.015,3,1,"g",2006,8,"98_1_2006-08-03"
"98","narrows upper",1,2006-08-03,"cw",0.017,14,1,"g",2006,8,"98_1_2006-08-03"
"98","narrows upper",1,2006-08-03,"cw",0.023,17,1,"g",2006,8,"98_1_2006-08-03"
"98","narrows upper",1,2006-08-03,"cw",0.028,5,1,"g",2006,8,"98_1_2006-08-03"
"98","narrows upper",1,2006-09-05,"cw",0.008,1,1,"g",2006,9,"98_1_2006-09-05"
"98","narrows upper",1,2006-09-05,"cw",0.009,3,1,"g",2006,9,"98_1_2006-09-05"
"98","narrows upper",1,2006-09-05,"cw",0.009,7,1,"g",2006,9,"98_1_2006-09-05"
"98","narrows upper",1,2006-09-05,"cw",0.011,9,1,"g",2006,9,"98_1_2006-09-05"
"98","narrows upper",1,2006-09-05,"cw",0.011,11,1,"g",2006,9,"98_1_2006-09-05"
"98","narrows upper",1,2006-09-05,"cw",0.012,5,1,"g",2006,9,"98_1_2006-09-05"
"98","narrows upper",1,2006-09-05,"cw",0.02,14,1,"g",2006,9,"98_1_2006-09-05"
"98","narrows upper",1,2006-09-05,"cw",0.065,17,1,"g",2006,9,"98_1_2006-09-05"
"98","narrows upper",1,2006-10-09,"cw",0.008,7,1,"g",2006,10,"98_1_2006-10-09"
"98","narrows upper",1,2006-10-09,"cw",0.01,9,1,"g",2006,10,"98_1_2006-10-09"
"98","narrows upper",1,2006-10-09,"cw",0.011,5,1,"g",2006,10,"98_1_2006-10-09"
"98","narrows upper",1,2006-10-09,"cw",0.012,1,1,"g",2006,10,"98_1_2006-10-09"
"98","narrows upper",1,2006-10-09,"cw",0.012,3,1,"g",2006,10,"98_1_2006-10-09"
"98","narrows upper",1,2006-10-09,"cw",0.018,11,1,"g",2006,10,"98_1_2006-10-09"
"98","narrows upper",1,2006-10-09,"cw",0.041,14,1,"g",2006,10,"98_1_2006-10-09"
"98","narrows upper",1,2006-10-09,"cw",0.068,17,1,"g",2006,10,"98_1_2006-10-09"
"98","narrows upper",1,2009-05-20,"cw",0.005,5,1,"g",2009,5,"98_1_2009-05-20"
"98","narrows upper",1,2009-05-20,"cw",0.006,1,1,"g",2009,5,"98_1_2009-05-20"
"98","narrows upper",1,2009-05-20,"cw",0.006,3,1,"g",2009,5,"98_1_2009-05-20"
"98","narrows upper",1,2009-05-20,"cw",0.006,7,1,"g",2009,5,"98_1_2009-05-20"
"98","narrows upper",1,2009-05-20,"cw",0.007,15,1,"g",2009,5,"98_1_2009-05-20"
"98","narrows upper",1,2009-05-20,"cw",0.008,10,1,"g",2009,5,"98_1_2009-05-20"
"98","narrows upper",1,2009-06-11,"cw",0.004,5,1,"g",2009,6,"98_1_2009-06-11"
"98","narrows upper",1,2009-06-11,"cw",0.004,10,1,"g",2009,6,"98_1_2009-06-11"
"98","narrows upper",1,2009-06-11,"cw",0.005,1,1,"g",2009,6,"98_1_2009-06-11"
"98","narrows upper",1,2009-06-11,"cw",0.005,3,1,"g",2009,6,"98_1_2009-06-11"
"98","narrows upper",1,2009-06-11,"cw",0.006,15,1,"g",2009,6,"98_1_2009-06-11"
"98","narrows upper",1,2009-06-11,"cw",0.008,7,1,"g",2009,6,"98_1_2009-06-11"
"98","narrows upper",1,2009-07-14,"cw",0.004,10,1,"g",2009,7,"98_1_2009-07-14"
"98","narrows upper",1,2009-07-14,"cw",0.005,7,1,"g",2009,7,"98_1_2009-07-14"
"98","narrows upper",1,2009-07-14,"cw",0.006,1,1,"g",2009,7,"98_1_2009-07-14"
"98","narrows upper",1,2009-07-14,"cw",0.006,3,1,"g",2009,7,"98_1_2009-07-14"
"98","narrows upper",1,2009-07-14,"cw",0.006,5,1,"g",2009,7,"98_1_2009-07-14"
"98","narrows upper",1,2009-07-14,"cw",0.006,5,2,"g",2009,7,"98_1_2009-07-14"
"98","narrows upper",1,2009-07-14,"cw",0.007,15,1,"g",2009,7,"98_1_2009-07-14"
"98","narrows upper",1,2009-08-10,"cw",0.005,7,1,"g",2009,8,"98_1_2009-08-10"
"98","narrows upper",1,2009-08-10,"cw",0.006,3,1,"g",2009,8,"98_1_2009-08-10"
"98","narrows upper",1,2009-08-10,"cw",0.006,10,1,"g",2009,8,"98_1_2009-08-10"
"98","narrows upper",1,2009-08-10,"cw",0.007,1,1,"g",2009,8,"98_1_2009-08-10"
"98","narrows upper",1,2009-08-10,"cw",0.008,5,1,"g",2009,8,"98_1_2009-08-10"
"98","narrows upper",1,2009-08-10,"cw",0.011,15,1,"g",2009,8,"98_1_2009-08-10"
"98","narrows upper",1,2009-09-30,"cw",0.004,5,1,"g",2009,9,"98_1_2009-09-30"
"98","narrows upper",1,2009-09-30,"cw",0.005,3,1,"g",2009,9,"98_1_2009-09-30"
"98","narrows upper",1,2009-09-30,"cw",0.005,7,1,"g",2009,9,"98_1_2009-09-30"
"98","narrows upper",1,2009-09-30,"cw",0.006,3,2,"g",2009,9,"98_1_2009-09-30"
"98","narrows upper",1,2009-09-30,"cw",0.008,1,1,"g",2009,9,"98_1_2009-09-30"
"98","narrows upper",1,2009-09-30,"cw",0.008,10,1,"g",2009,9,"98_1_2009-09-30"
"98","narrows upper",1,2009-09-30,"cw",0.017,15,1,"g",2009,9,"98_1_2009-09-30"
"98","narrows upper",1,2009-10-29,"cw",0.007,5,1,"g",2009,10,"98_1_2009-10-29"
"98","narrows upper",1,2009-10-29,"cw",0.008,1,1,"g",2009,10,"98_1_2009-10-29"
"98","narrows upper",1,2009-10-29,"cw",0.009,3,1,"g",2009,10,"98_1_2009-10-29"
"98","narrows upper",1,2009-10-29,"cw",0.009,10,1,"g",2009,10,"98_1_2009-10-29"
"98","narrows upper",1,2009-10-29,"cw",0.021,15,1,"g",2009,10,"98_1_2009-10-29"
"98","narrows upper",1,2012-06-12,"cw",0.009,3,1,"g",2012,6,"98_1_2012-06-12"
"98","narrows upper",1,2012-06-12,"cw",0.009,15,1,"g",2012,6,"98_1_2012-06-12"
"98","narrows upper",1,2012-06-12,"cw",0.01,1,1,"g",2012,6,"98_1_2012-06-12"
"98","narrows upper",1,2012-06-12,"cw",0.011,5,1,"g",2012,6,"98_1_2012-06-12"
"98","narrows upper",1,2012-06-12,"cw",0.011,10,1,"g",2012,6,"98_1_2012-06-12"
"98","narrows upper",1,2012-06-12,"cw",0.012,5,2,"g",2012,6,"98_1_2012-06-12"
"98","narrows upper",1,2012-07-19,"cw",0.006,3,1,"g",2012,7,"98_1_2012-07-19"
"98","narrows upper",1,2012-07-19,"cw",0.007,1,1,"g",2012,7,"98_1_2012-07-19"
"98","narrows upper",1,2012-07-19,"cw",0.008,10,1,"g",2012,7,"98_1_2012-07-19"
"98","narrows upper",1,2012-07-19,"cw",0.009,15,1,"g",2012,7,"98_1_2012-07-19"
"98","narrows upper",1,2012-07-19,"cw",0.018,5,2,"g",2012,7,"98_1_2012-07-19"
"98","narrows upper",1,2012-07-19,"cw",0.02,5,1,"g",2012,7,"98_1_2012-07-19"
"98","narrows upper",1,2012-08-20,"cw",0.005,10,1,"g",2012,8,"98_1_2012-08-20"
"98","narrows upper",1,2012-08-20,"cw",0.006,1,1,"g",2012,8,"98_1_2012-08-20"
"98","narrows upper",1,2012-08-20,"cw",0.006,3,1,"g",2012,8,"98_1_2012-08-20"
"98","narrows upper",1,2012-08-20,"cw",0.007,5,1,"g",2012,8,"98_1_2012-08-20"
"98","narrows upper",1,2012-08-20,"cw",0.007,5,2,"g",2012,8,"98_1_2012-08-20"
"98","narrows upper",1,2012-08-20,"cw",0.013,15,1,"g",2012,8,"98_1_2012-08-20"
"98","narrows upper",1,2012-09-20,"cw",0.005,3,1,"g",2012,9,"98_1_2012-09-20"
"98","narrows upper",1,2012-09-20,"cw",0.005,5,1,"g",2012,9,"98_1_2012-09-20"
"98","narrows upper",1,2012-09-20,"cw",0.007,1,1,"g",2012,9,"98_1_2012-09-20"
"98","narrows upper",1,2012-09-20,"cw",0.008,10,1,"g",2012,9,"98_1_2012-09-20"
"98","narrows upper",1,2012-09-20,"cw",0.022,15,1,"g",2012,9,"98_1_2012-09-20"
"98","narrows upper",1,2012-10-25,"cw",0.007,1,1,"g",2012,10,"98_1_2012-10-25"
"98","narrows upper",1,2012-10-25,"cw",0.008,3,1,"g",2012,10,"98_1_2012-10-25"
"98","narrows upper",1,2012-10-25,"cw",0.011,10,1,"g",2012,10,"98_1_2012-10-25"
"98","narrows upper",1,2012-10-25,"cw",0.012,5,1,"g",2012,10,"98_1_2012-10-25"
"98","narrows upper",1,2012-10-25,"cw",0.044,15,1,"g",2012,10,"98_1_2012-10-25"
"98","narrows upper",1,2013-06-27,"cw",0.007,7,1,"c",2013,6,"98_1_2013-06-27"
"98","narrows upper",1,2013-06-27,"cw",0.008,15,1,"g",2013,6,"98_1_2013-06-27"
"98","narrows upper",1,2013-07-25,"cw",0.008,5,1,"c",2013,7,"98_1_2013-07-25"
"98","narrows upper",1,2013-07-25,"cw",0.008,15,1,"g",2013,7,"98_1_2013-07-25"
"98","narrows upper",1,2013-08-23,"cw",0.009,4.5,1,"c",2013,8,"98_1_2013-08-23"
"98","narrows upper",1,2013-08-23,"cw",0.013,15,1,"g",2013,8,"98_1_2013-08-23"
