"sampID","midas","lake","station","date","time","agency","project","db","secchi","rep","seccbot","scope","surveyors","qa_cert","windvel","winddir","cloudcvr","lat","long","gloeo","comments","dups"
"103_1_2021-07-08_cw",103,"narrows lower",1,2021-07-08,NA,"cw",3,"cwd21",7.64,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",3,1,"2","441719","695707.4",NA,NA,"103_1_2021-07-08_7.64_bu-0773_1"
"103_1_2021-07-08_cw",103,"narrows lower",1,2021-07-08,NA,"cw",3,"cwd21",7.6,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",3,1,"2","441719","695707.4",NA,NA,"103_1_2021-07-08_7.6_de-0023_1"
"5312_2_2021-07-10_ei",5312,"maranacook",2,2021-07-10,NA,"ei",3,"cwd21",3.9,1,"n",4,"dodge, edward,,NA,NA","do-0532",3,3,"0","0","0",NA,NA,"5312_2_2021-07-10_3.9_do-0532_1"
"9961_2_2021-07-11_ei",9961,"annabessacook",2,2021-07-11,NA,"ei",3,"cwd21",4.7,1,"n",4,"becker, michael,,NA,NA","be-0780",5,5,"0","0","0",NA,NA,"9961_2_2021-07-11_4.7_be-0780_1"
"9961_1_2021-07-11_ei",9961,"annabessacook",1,2021-07-11,NA,"ei",3,"cwd21",4.55,1,"n",4,"becker, michael,,NA,NA","be-0780",5,7,"0","0","0",NA,NA,"9961_1_2021-07-11_4.55_be-0780_1"
"3814_1_2021-07-22_cw",3814,"cochnewagon",1,2021-07-22,NA,"cw",3,"cwd21",4.64,1,"n",4,"burton, ryan,,NA,NA","bu-0773",8,8,"0","441355.2","700243.8",NA,NA,"3814_1_2021-07-22_4.64_bu-0773_1"
"3814_1_2021-07-22_cw",3814,"cochnewagon",1,2021-07-22,NA,"cw",3,"cwd21",4.68,2,"n",4,"burton, ryan,,NA,NA","bu-0773",8,8,"0","441355.2","700243.8",NA,NA,"3814_1_2021-07-22_4.68_bu-0773_2"
"3832_1_2021-07-22_cw",3832,"wilson",1,2021-07-22,NA,"cw",3,"cwd21",6.05,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",4,8,"0","441702.7","700246.4",NA,NA,"3832_1_2021-07-22_6.05_bu-0773_1"
"3830_1_2021-07-22_cw",3830,"dexter",1,2021-07-22,NA,"cw",3,"cwd21",6.95,1,"n",4,"burton, ryan,,NA,NA","bu-0773",2,7,"0","441858","700154.3",NA,NA,"3830_1_2021-07-22_6.95_bu-0773_1"
"5312_2_2021-07-24_ei",5312,"maranacook",2,2021-07-24,NA,"ei",3,"cwd21",4.1,1,"n",4,"dodge, edward,,NA,NA","do-0532",2,6,"0","0","0",NA,NA,"5312_2_2021-07-24_4.1_do-0532_1"
"5236_2_2021-07-26_cw",5236,"cobbossee",2,2021-07-26,NA,"cw",3,"cwd21",7.04,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",6,6,"0","441901.1","695257.9",NA,NA,"5236_2_2021-07-26_7.04_bu-0773_1"
"5236_1_2021-07-26_cw",5236,"cobbossee",1,2021-07-26,NA,"cw",3,"cwd21",6.38,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",6,7,"0","441500.5","695632.6",NA,NA,"5236_1_2021-07-26_6.38_de-0023_1"
"5236_1_2021-07-26_cw",5236,"cobbossee",1,2021-07-26,NA,"cw",3,"cwd21",6.4,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",6,7,"0","441500.5","695632.6",NA,NA,"5236_1_2021-07-26_6.4_bu-0773_1"
