"LAKNAM","MIDAS","STATION","SAMPDATE","AGENCY","PROJECT","DEPTH","TEMP","OXYGEN","OXYMETH","METER","CALIB"
"Cochnewagon",3814,1,2022-07-07,"CW",3,3,26.3,7.7,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-07-07,"CW",3,4,26,7.7,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-07-07,"CW",3,5,25,8,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-07-07,"CW",3,6,24.1,8.2,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-07-07,"CW",3,7,21.1,4.5,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-07-07,"CW",3,8,19.9,1.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-08-31,"CW",3,0,24.9,8.4,"M","other","Y"
"Cochnewagon",3814,1,2022-08-31,"CW",3,1,24.9,8.5,"M","other","Y"
"Cochnewagon",3814,1,2022-08-31,"CW",3,2,24.9,8.5,"M","other","Y"
"Cochnewagon",3814,1,2022-08-31,"CW",3,3,24.9,8.5,"M","other","Y"
"Cochnewagon",3814,1,2022-08-31,"CW",3,4,24.8,8.5,"M","other","Y"
"Cochnewagon",3814,1,2022-08-31,"CW",3,5,24.5,8.5,"M","other","Y"
"Cochnewagon",3814,1,2022-08-31,"CW",3,6,24,7.3,"M","other","Y"
"Cochnewagon",3814,1,2022-08-31,"CW",3,7,23.1,2.3,"M","other","Y"
"Cochnewagon",3814,1,2022-08-31,"CW",3,7.5,23,1.9,"M","other","Y"
"Cochnewagon",3814,1,2022-10-06,"CW",3,0,16.6,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-10-06,"CW",3,1,16.1,9.4,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-10-06,"CW",3,2,16,9.4,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-10-06,"CW",3,3,15.9,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-10-06,"CW",3,4,15.9,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-10-06,"CW",3,5,15.9,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-10-06,"CW",3,6,15.9,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-10-06,"CW",3,7,15.8,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-10-06,"CW",3,8,15.8,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-11-02,"CW",3,0.1,13.2,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-11-02,"CW",3,1,13.2,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-11-02,"CW",3,2,13.2,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-11-02,"CW",3,3,13.2,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-11-02,"CW",3,4,13.2,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-11-02,"CW",3,5,13.2,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-11-02,"CW",3,6,13.1,9.3,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-11-02,"CW",3,7,13.1,9.2,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-11-02,"CW",3,8,13,9,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-11-02,"CW",3,8.5,13,8.9,"M","YSI52 1","Y"
"Dexter",3830,1,2022-09-06,"CW",3,0,22.4,7.7,"M","other","Y"
"Dexter",3830,1,2022-09-06,"CW",3,1,22.4,7.6,"M","other","Y"
"Dexter",3830,1,2022-09-06,"CW",3,2,22.4,7.6,"M","other","Y"
"Dexter",3830,1,2022-09-06,"CW",3,3,22.4,7.6,"M","other","Y"
"Dexter",3830,1,2022-09-06,"CW",3,4,2.4,7.6,"M","other","Y"
"Dexter",3830,1,2022-09-06,"CW",3,5,22,6,"M","other","Y"
"Dexter",3830,1,2022-09-06,"CW",3,6,18,0.1,"M","other","Y"
"Dexter",3830,1,2022-09-06,"CW",3,7,15,0,"M","other","Y"
"Cochnewagon",3814,1,2022-06-01,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cochnewagon",3814,1,2022-06-16,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cochnewagon",3814,1,2022-07-01,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cochnewagon",3814,1,2022-07-14,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cochnewagon",3814,1,2022-07-27,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cochnewagon",3814,1,2022-08-11,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cochnewagon",3814,1,2022-08-25,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cochnewagon",3814,1,2022-09-08,"CW",3,NA,NA,NA,"M",NA,"Y"
"Cochnewagon",3814,1,2022-09-21,"CW",3,NA,NA,NA,"M",NA,"Y"
"Horseshoe",5252,1,2022-07-04,"CW",3,NA,NA,NA,"M",NA,"Y"
"Horseshoe",5252,1,2022-07-18,"CW",3,NA,NA,NA,"M",NA,"Y"
"Horseshoe",5252,1,2022-07-31,"CW",3,NA,NA,NA,"M",NA,"Y"
"Horseshoe",5252,1,2022-08-13,"CW",3,NA,NA,NA,"M",NA,"Y"
"Horseshoe",5252,1,2022-08-27,"CW",3,NA,NA,NA,"M",NA,"Y"
"Horseshoe",5252,1,2022-09-10,"CW",3,NA,NA,NA,"M",NA,"Y"
"Horseshoe",5252,1,2022-09-25,"CW",3,NA,NA,NA,"M",NA,"Y"
"Jimmy",5244,1,2022-07-27,"CW",3,NA,NA,NA,"M",NA,"Y"
"Jimmy",5244,1,2022-08-16,"CW",3,NA,NA,NA,"M",NA,"Y"
"Jimmy",5244,1,2022-09-02,"CW",3,NA,NA,NA,"M",NA,"Y"
"Maranacook",5312,1,2022-06-07,"CW",3,NA,NA,NA,"M",NA,"Y"
"Maranacook",5312,1,2022-06-07,"CW",3,NA,NA,NA,"M",NA,"Y"
"Maranacook",5312,1,2022-07-06,"CW",3,NA,NA,NA,"M",NA,"Y"
"Maranacook",5312,1,2022-07-06,"CW",3,NA,NA,NA,"M",NA,"Y"
"Maranacook",5312,1,2022-08-06,"CW",3,NA,NA,NA,"M",NA,"Y"
"Maranacook",5312,1,2022-08-06,"CW",3,NA,NA,NA,"M",NA,"Y"
"Maranacook",5312,1,2022-08-28,"CW",3,NA,NA,NA,"M",NA,"Y"
"Maranacook",5312,1,2022-08-28,"CW",3,NA,NA,NA,"M",NA,"Y"
"Maranacook",5312,2,2022-05-14,"CW",3,NA,NA,NA,"M",NA,"Y"
